Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Komitmen & Kontinjensi,Tagihan Komitmen,Tagihan Komitmen,Tagihan Komitmen,2015-02-01,-21453
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-08-01,3720111
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-04-01,3841881
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-07-01,3647780
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-06-01,3874933
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-03-01,3736841
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-05-01,3711229
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-11-01,3517800
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-10-01,3601256
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-09-01,3696023
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2013-12-01,3777324
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-08-01,3650171
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-04-01,4618466
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-12-01,3773779
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-07-01,3746693
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-06-01,3860499
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-03-01,4629802
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-05-01,3851713
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-11-01,3180898
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-10-01,3637758
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2014-09-01,3605543
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2015-01-01,4052145
Komitmen & Kontinjensi,Kewajiban Komitmen,Kewajiban Komitmen,Kewajiban Komitmen,2015-02-01,3969038
Komitmen & Kontinjensi,Tagihan Kontinjensi,Tagihan Kontinjensi,Tagihan Kontinjensi,2013-08-01,63096
