Tanggal,Neraca,Aset,Aset_Lainnya,Aset_Non_Produktif,Aset_antarkantor_2_,Aset_yang_diambil_alih_,Properti_terbengkalai,Rekening_tunda,Aset_pajak_tangguhan_,Aset_tetap_dan_inventaris,Akumulasi_penyusutan_aset_tetap_dan_inventaris____,Aset_tidak_berwujud,Akumulasi_amortisasi_aset_tidak_berwujud____,Cadangan_kerugian_penurunan_nilai_aset_keuangan____,Kredit,Lainnya,Surat_berharga,Cadangan_kerugian_penurunan_nilai_aset_non_keuangan____,Kas,Kredit_20,Dimiliki_hingga_jatuh_tempo,Diukur_pada_nilai_wajar_melalui_laporan_laba_rugi,Pinjaman_yang_diberikan_dan_piutang,Tersedia_untuk_dijual,Pembiayaan_syariah,Penempatan_pada_Bank_Indonesia,Penempatan_pada_bank_lain,Penyertaan,Sewa_pembiayaan__,Surat_berharga_30,Dimiliki_hingga_jatuh_tempo_31,Diukur_pada_nilai_wajar_melalui_laporan_laba_rugi_32,Pinjaman_yang_diberikan_dan_piutang_33,Tersedia_untuk_dijual_34,Surat_berharga_yang_dijual_dengan_janji_dibeli_kembali__repo_,Tagihan_akseptasi,Tagihan_akseptasi_37,Tagihan_atas_surat_berharga_yang_dibeli_dengan_janji_dijual_kembali__reverse_repo_,Tagihan_spot_dan_derivatif,Total_Aset,Ekuitas,Cadangan,Cadangan_Tujuan,Cadangan_Umum,Laba_Rugi,Tahun_berjalan,Tahun_tahun_lalu,Modal_Disetor,Modal_dasar_,Modal_yang_belum_disetor____,Saham_yang_dibeli_kembali__treasury_stock_____,Modal_pinjaman_,Pendapatan__kerugian__komprehensif_lainnya,Lainnya_54,Penyesuaian_akibat_penjabaran_laporan_keuangan_dalam_mata_uang_asing,Selisih_penilaian_kembali_aset_tetap,Selisih_kuasi_reorganisasi,Selisih_restrukturisasi_entitas_sepengendali,Tambahan_Modal_Disetor,Agio,Dana_setoran_modal,Disagio____,Lainnya_63,Modal_sumbangan,Total_Ekuitas,Total_Ekuitas_66,Liabilitas,Dana_investasi_profit_sharing,Dana_investasi_revenue_sharing,Giro,Liabilitas_antar_kantor_2_,Melakukan_kegiatan_operasional_di_Indonesia,Melakukan_kegiatan_operasional_di_luar_Indonesia,Liabilitas_lainnya,Liabilitas_pajak_tangguhan,Liabilitas_spot_dan_derivatif,Pinjaman_dari_Bank_Indonesia,Pinjaman_dari_bank_lain,Pinjaman_yang_diterima,Setoran_jaminan,Simpanan_berjangka,Surat_berharga_yang_diterbitkan,Tabungan,Total_Liabilitas,Utang_akseptasi,Utang_atas_surat_berharga_yang_dijual_dengan_janji_dibeli_kembali__repo_,Liabilitas_dan_Ekuitas,Total_Liabilitas_dan_Ekuitas
2013-07-01,132312937,49448786,602964,2358,0,0,0,2358,0,245970,245970,3753,3753,323427,323427,0,0,0,1915756,2428847,2428847,0,0,0,302225,2122060,5593916,0,0,2428847,2428847,0,0,0,0,0,0,9029,0,33469634,21308608,655562,0,655562,489374,489374,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5383725,5383725,28085909,0,239120,10870912,0,0,0,421675,86926,0,127,226091,313760,15744,8083755,0,7827799,,0,0,33469634,33469634
2013-04-01,155191458,70006249,593563,818,0,0,0,818,0,236920,236920,3753,3753,248721,248721,0,0,0,1540751,19104345,0,0,19104345,0,268775,2655263,9013355,0,0,1591400,1591400,0,0,0,0,0,0,21766,0,34726819,20921984,655562,0,655562,296062,296062,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5190413,5190413,29536406,0,237140,12715229,0,0,0,1035533,50433,0,158,294492,313801,14052,7684593,0,7190975,,0,0,34726819,34726819
2013-03-01,129219724,48410464,513618,559,0,0,0,559,0,234962,234962,3753,3753,239145,239145,0,0,0,1488743,1269714,1269714,0,0,0,259010,1904417,8643716,0,0,1269714,1269714,0,0,0,0,0,0,5328,0,32577785,20766222,655562,0,655562,218181,218181,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5112532,5112532,27465253,0,216728,12093455,0,0,0,1070653,89878,0,169,331386,313827,19850,6633969,0,6695338,,0,0,32577785,32577785
2014-03-01,139553401,52667163,652607,2816,0,0,0,2816,0,271839,271839,4721,4721,582968,565367,0,17601,0,1522808,2813059,2813059,0,0,0,347468,2123654,6043189,0,0,2813059,2813059,0,0,0,0,0,0,24808,0,35464167,21374650,865762,0,865762,312195,312195,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5416746,5416746,30047421,0,244202,11677789,0,0,0,1208971,51533,0,84,242128,316619,23561,8073464,0,8209070,,0,0,35464167,35464167
2014-04-01,150597708,57671206,658283,3435,0,0,0,3435,0,275185,275185,4849,4849,619850,602249,0,17601,0,1615961,2841357,2841357,0,0,0,0,2398240,7809965,0,0,2841357,2841357,0,0,0,0,0,0,144413,0,38458311,21478602,865762,0,865762,364171,364171,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5468722,5468722,32989589,0,0,13414791,0,0,0,1030122,71220,0,84,252719,321310,23377,9233562,0,8642404,,0,0,38458311,38458311
2014-11-01,171712930,66911122,807946,3853,0,0,0,3853,0,299370,299370,5513,5513,676847,664866,0,11981,0,1525782,3466431,3466431,0,0,0,517513,6136038,5673611,0,0,3466431,3466431,0,0,0,0,0,0,196979,0,44134808,22523226,865760,0,865760,886485,886485,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5991034,5991034,38143774,0,994114,16942708,0,0,0,580598,53530,0,5,360400,317298,21934,9149792,0,9723395,,0,0,44134808,44134808
2014-10-01,169130419,65700542,777347,3280,0,0,0,3280,0,295631,295631,5460,5460,670286,658305,0,11981,0,1524648,3288573,3288573,0,0,0,494084,5686979,5992874,0,0,3288573,3288573,0,0,0,0,0,0,196979,0,43475828,22415284,865761,0,865761,832513,832513,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5937063,5937063,37538765,0,946332,16194568,0,0,0,498906,50118,0,9,341595,317010,21562,9682522,0,9486143,,0,0,43475828,43475828
2013-08-01,207034311,79550360,772141,5435,0,0,0,5435,0,288512,288512,5361,5361,744791,732810,0,11981,0,1606800,25011716,0,0,25011716,0,462605,5177332,3590366,0,0,2145133,2145133,0,0,0,0,0,0,759237,0,38980931,22059384,865761,0,865761,654563,654563,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5759113,5759113,66443636,0,878104,11944443,0,0,0,443569,61200,0,16,389016,317060,24145,10229493,0,8934772,33221818,0,0,38980931,38980931
2014-08-01,207034311,79550360,772141,5435,0,0,0,5435,0,288512,288512,5361,5361,744791,732810,0,11981,0,1606800,25011716,0,0,25011716,0,462605,5177332,3590366,0,0,2145133,2145133,0,0,0,0,0,0,759237,0,38980931,22059384,865761,0,865761,654563,654563,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5759113,5759113,66443636,0,878104,11944443,0,0,0,443569,61200,0,16,389016,317060,24145,10229493,0,8934772,33221818,0,0,38980931,38980931
2014-06-01,164198690,63715118,695027,4048,0,0,0,4048,0,281805,281805,5116,5116,654462,642481,0,11981,0,1736110,2399887,2399887,0,0,0,430658,2808469,9451149,0,0,2399887,2399887,0,0,0,0,0,0,701209,0,42147291,21836822,865761,0,865761,543282,543282,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5647832,5647832,36499459,0,862949,16395245,0,0,0,408523,70858,0,29,200443,316850,22546,10220493,0,8001523,,0,0,42147291,42147291
2014-07-01,141823801,52196363,764460,804,0,0,0,804,0,285149,285149,5241,5241,691142,679161,0,11981,0,1877206,2154078,2154078,0,0,0,456814,3075543,3115600,0,0,2154078,2154078,0,0,0,0,0,0,931678,0,36684570,21975438,865761,0,865761,612590,612590,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5717140,5717140,30967430,0,861261,9122837,0,0,0,492735,60943,0,29,681091,316836,22454,10039816,0,9369428,,0,0,36684570,36684570
2014-05-01,154192962,59272421,698733,4060,0,0,0,4060,0,278795,278795,4982,4982,637101,625120,0,11981,0,1530315,2791244,2791244,0,0,0,395251,2670212,7926530,0,0,2791244,2791244,0,0,0,0,0,0,150774,0,39393180,21727204,865761,0,865761,488473,488473,0,14270579,9000000,5270579,0,0,0,0,0,0,0,0,509368,509368,0,0,0,0,5593023,5593023,33800157,0,647454,14009693,0,0,0,440965,68201,0,84,229624,316457,23459,9681373,0,8382847,,0,0,39393180,39393180
