stock_name,period_end_date,type,category,sub_category,value
Bank BCA,2011-09-30,Liabilities,Current Liabilities,Total Short Term Borrowings,699862
Bank BCA,2011-09-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,2580267
Bank BCA,2011-09-30,Liabilities,Current Liabilities,Accrued Expenses,4109901
Bank BCA,2011-09-30,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2011-09-30,Liabilities,Current Liabilities,Total Deposits,310565660
Bank BCA,2011-06-30,Assets,"Other Assets, Total",Other Assets,8587788
Bank BCA,2011-06-30,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2011-06-30,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",3735930
Bank BCA,2011-06-30,Assets,Current Assets,Cash and Due from Banks,101010699
Bank BCA,2011-06-30,Assets,Current Assets,Other Earning Assets,119114423
Bank BCA,2011-06-30,Assets,Fixed Assets,"Other Long Term Assets, Total",882001
Bank BCA,2011-06-30,Assets,Non-Current Assets,Net Loans,156286032
Bank BCA,2011-06-30,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),689470
Bank BCA,2011-06-30,Equities,Retained Earnings,Retained Earnings,31622577
Bank BCA,2011-06-30,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2011-06-30,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2011-06-30,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2011-06-30,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2821890
Bank BCA,2011-06-30,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2011-06-30,Liabilities,Non-Current Liabilities,Total Long Term Debt,507599
Bank BCA,2011-06-30,Liabilities,Current Liabilities,"Other Current Liabilities, Total",702036
Bank BCA,2011-06-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,2747661
Bank BCA,2011-06-30,Liabilities,Current Liabilities,Total Short Term Borrowings,127964
Bank BCA,2011-06-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,2747661
Bank BCA,2011-06-30,Liabilities,Current Liabilities,Accrued Expenses,3618527
Bank BCA,2011-06-30,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2011-06-30,Liabilities,Current Liabilities,Total Deposits,292138574
Bank BCA,2011-03-31,Assets,"Other Assets, Total",Other Assets,7683885
Bank BCA,2011-03-31,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2011-03-31,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",3520375
Bank BCA,2011-03-31,Assets,Current Assets,Cash and Due from Banks,93908906
Bank BCA,2011-03-31,Assets,Current Assets,Other Earning Assets,136811021
Bank BCA,2011-03-31,Assets,Fixed Assets,"Other Long Term Assets, Total",1029372
Bank BCA,2011-03-31,Assets,Non-Current Assets,Net Loans,146455093
Bank BCA,2011-03-31,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),698326
Bank BCA,2011-03-31,Equities,Retained Earnings,Retained Earnings,30550614
Bank BCA,2011-03-31,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2011-03-31,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2011-03-31,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2011-03-31,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2719537
Bank BCA,2011-03-31,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2011-03-31,Liabilities,Non-Current Liabilities,Total Long Term Debt,543609
Bank BCA,2011-03-31,Liabilities,Current Liabilities,"Other Current Liabilities, Total",410596
Bank BCA,2011-03-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,1829363
Bank BCA,2011-03-31,Liabilities,Current Liabilities,Total Short Term Borrowings,571204
Bank BCA,2011-03-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,1829363
Bank BCA,2011-03-31,Liabilities,Current Liabilities,Accrued Expenses,3830074
Bank BCA,2011-03-31,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2011-03-31,Liabilities,Current Liabilities,Total Deposits,280503253
Bank BCA,2010-12-31,Assets,"Other Assets, Total",Other Assets,7095644
Bank BCA,2010-12-31,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2010-12-31,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",3406957
Bank BCA,2010-12-31,Assets,Current Assets,Cash and Due from Banks,94202112
Bank BCA,2010-12-31,Assets,Current Assets,Other Earning Assets,127501013
Bank BCA,2010-12-31,Assets,Fixed Assets,"Other Long Term Assets, Total",951767
Bank BCA,2010-12-31,Assets,Non-Current Assets,Net Loans,150016746
Bank BCA,2010-12-31,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),744113
Bank BCA,2010-12-31,Equities,Retained Earnings,Retained Earnings,28536187
Bank BCA,2010-12-31,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2010-12-31,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2010-12-31,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2010-12-31,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2550557
Bank BCA,2010-12-31,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2010-12-31,Liabilities,Non-Current Liabilities,Total Long Term Debt,460165
Bank BCA,2010-12-31,Liabilities,Current Liabilities,"Other Current Liabilities, Total",493337
Bank BCA,2010-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,1851812
Bank BCA,2010-12-31,Liabilities,Current Liabilities,Total Short Term Borrowings,448721
Bank BCA,2010-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,1851812
Bank BCA,2010-12-31,Liabilities,Current Liabilities,Accrued Expenses,2977280
Bank BCA,2010-12-31,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2010-12-31,Liabilities,Current Liabilities,Total Deposits,281529353
Bank BCA,2010-09-30,Assets,"Other Assets, Total",Other Assets,8920930
Bank BCA,2010-09-30,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2010-09-30,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",3184785
Bank BCA,2010-09-30,Assets,Current Assets,Cash and Due from Banks,70956368
Bank BCA,2010-09-30,Assets,Current Assets,Other Earning Assets,173243343
Bank BCA,2010-09-30,Assets,Fixed Assets,"Other Long Term Assets, Total",831946
Bank BCA,2010-09-30,Assets,Non-Current Assets,Net Loans,135247237
Bank BCA,2010-09-30,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),609990
Bank BCA,2010-09-30,Equities,Retained Earnings,Retained Earnings,26996751
Bank BCA,2010-09-30,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2010-09-30,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2010-09-30,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2010-09-30,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2471394
Bank BCA,2010-09-30,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2010-09-30,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2010-09-30,Liabilities,Current Liabilities,"Other Current Liabilities, Total",1605758
Bank BCA,2010-09-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,2282089
Bank BCA,2010-09-30,Liabilities,Current Liabilities,Total Short Term Borrowings,700304
Bank BCA,2010-09-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,2282089
Bank BCA,2010-09-30,Liabilities,Current Liabilities,Accrued Expenses,5273753
Bank BCA,2010-09-30,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2010-09-30,Liabilities,Current Liabilities,Total Deposits,265431585
Bank BCA,2010-06-30,Assets,"Other Assets, Total",Other Assets,7378642
Bank BCA,2010-06-30,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2010-06-30,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",3029974
Bank BCA,2010-06-30,Assets,Current Assets,Cash and Due from Banks,42260843
Bank BCA,2010-06-30,Assets,Current Assets,Other Earning Assets,228493862
Bank BCA,2010-06-30,Assets,Fixed Assets,"Other Long Term Assets, Total",847106
Bank BCA,2010-06-30,Assets,Non-Current Assets,Net Loans,128036615
Bank BCA,2010-06-30,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),504835
Bank BCA,2010-06-30,Equities,Retained Earnings,Retained Earnings,24866091
Bank BCA,2010-06-30,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2010-06-30,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2010-06-30,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2010-06-30,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2028112
Bank BCA,2010-06-30,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2010-06-30,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2010-06-30,Liabilities,Current Liabilities,"Other Current Liabilities, Total",1368996
Bank BCA,2010-06-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,1752519
Bank BCA,2010-06-30,Liabilities,Current Liabilities,Total Short Term Borrowings,482276
Bank BCA,2010-06-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,1752519
Bank BCA,2010-06-30,Liabilities,Current Liabilities,Accrued Expenses,4954745
Bank BCA,2010-06-30,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2010-06-30,Liabilities,Current Liabilities,Total Deposits,257789721
Bank BCA,2010-03-31,Assets,"Other Assets, Total",Other Assets,6778701
Bank BCA,2010-03-31,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2010-03-31,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2940148
Bank BCA,2010-03-31,Assets,Current Assets,Cash and Due from Banks,41511649
Bank BCA,2010-03-31,Assets,Current Assets,Other Earning Assets,225954612
Bank BCA,2010-03-31,Assets,Fixed Assets,"Other Long Term Assets, Total",913787
Bank BCA,2010-03-31,Assets,Non-Current Assets,Net Loans,117201089
Bank BCA,2010-03-31,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),473826
Bank BCA,2010-03-31,Equities,Retained Earnings,Retained Earnings,24522234
Bank BCA,2010-03-31,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2010-03-31,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2010-03-31,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2010-03-31,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2091992
Bank BCA,2010-03-31,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2010-03-31,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2010-03-31,Liabilities,Current Liabilities,"Other Current Liabilities, Total",227212
Bank BCA,2010-03-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,955138
Bank BCA,2010-03-31,Liabilities,Current Liabilities,Total Short Term Borrowings,414061
Bank BCA,2010-03-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,955138
Bank BCA,2010-03-31,Liabilities,Current Liabilities,Accrued Expenses,3764923
Bank BCA,2010-03-31,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2010-03-31,Liabilities,Current Liabilities,Total Deposits,246951764
Bank BCA,2009-12-31,Assets,"Other Assets, Total",Other Assets,5331862
Bank BCA,2009-12-31,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2009-12-31,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2971269
Bank BCA,2009-12-31,Assets,Current Assets,Cash and Due from Banks,37539609
Bank BCA,2009-12-31,Assets,Current Assets,Other Earning Assets,227231365
Bank BCA,2009-12-31,Assets,Fixed Assets,"Other Long Term Assets, Total",1046739
Bank BCA,2009-12-31,Assets,Non-Current Assets,Net Loans,119595661
Bank BCA,2009-12-31,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),422913
Bank BCA,2009-12-31,Equities,Retained Earnings,Retained Earnings,22591069
Bank BCA,2009-12-31,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2009-12-31,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2009-12-31,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2009-12-31,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2031512
Bank BCA,2009-12-31,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2009-12-31,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2009-12-31,Liabilities,Current Liabilities,"Other Current Liabilities, Total",269334
Bank BCA,2009-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,475280
Bank BCA,2009-12-31,Liabilities,Current Liabilities,Total Short Term Borrowings,730333
Bank BCA,2009-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,475280
Bank BCA,2009-12-31,Liabilities,Current Liabilities,Accrued Expenses,2559253
Bank BCA,2009-12-31,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2009-12-31,Liabilities,Current Liabilities,Total Deposits,248469919
Bank BCA,2009-09-30,Assets,"Other Assets, Total",Other Assets,7170078
Bank BCA,2009-09-30,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2009-09-30,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2704323
Bank BCA,2009-09-30,Assets,Current Assets,Cash and Due from Banks,44175940
Bank BCA,2009-09-30,Assets,Current Assets,Other Earning Assets,214550565
Bank BCA,2009-09-30,Assets,Fixed Assets,"Other Long Term Assets, Total",1109762
Bank BCA,2009-09-30,Assets,Non-Current Assets,Net Loans,108517724
Bank BCA,2009-09-30,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),348601
Bank BCA,2009-09-30,Equities,Retained Earnings,Retained Earnings,21845807
Bank BCA,2009-09-30,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2009-09-30,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2009-09-30,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2009-09-30,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2111447
Bank BCA,2009-09-30,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2009-09-30,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2009-09-30,Liabilities,Current Liabilities,"Other Current Liabilities, Total",2029375
Bank BCA,2009-09-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,529794
Bank BCA,2009-09-30,Liabilities,Current Liabilities,Total Short Term Borrowings,690091
Bank BCA,2009-09-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,529794
Bank BCA,2009-09-30,Liabilities,Current Liabilities,Accrued Expenses,3872380
Bank BCA,2009-09-30,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2009-09-30,Liabilities,Current Liabilities,Total Deposits,237009056
Bank BCA,2009-06-30,Assets,"Other Assets, Total",Other Assets,6498568
Bank BCA,2009-06-30,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2009-06-30,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2639200
Bank BCA,2009-06-30,Assets,Current Assets,Cash and Due from Banks,36995488
Bank BCA,2009-06-30,Assets,Current Assets,Other Earning Assets,208343315
Bank BCA,2009-06-30,Assets,Fixed Assets,"Other Long Term Assets, Total",1030599
Bank BCA,2009-06-30,Assets,Non-Current Assets,Net Loans,103312767
Bank BCA,2009-06-30,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),172099
Bank BCA,2009-06-30,Equities,Retained Earnings,Retained Earnings,20059111
Bank BCA,2009-06-30,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2009-06-30,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2009-06-30,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2009-06-30,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2028699
Bank BCA,2009-06-30,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2009-06-30,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2009-06-30,Liabilities,Current Liabilities,"Other Current Liabilities, Total",1667973
Bank BCA,2009-06-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,490637
Bank BCA,2009-06-30,Liabilities,Current Liabilities,Total Short Term Borrowings,605029
Bank BCA,2009-06-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,490637
Bank BCA,2009-06-30,Liabilities,Current Liabilities,Accrued Expenses,4252435
Bank BCA,2009-06-30,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2009-06-30,Liabilities,Current Liabilities,Total Deposits,221973698
Bank BCA,2009-03-31,Assets,"Other Assets, Total",Other Assets,5081461
Bank BCA,2009-03-31,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2009-03-31,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2611376
Bank BCA,2009-03-31,Assets,Current Assets,Cash and Due from Banks,39457937
Bank BCA,2009-03-31,Assets,Current Assets,Other Earning Assets,188870272
Bank BCA,2009-03-31,Assets,Fixed Assets,"Other Long Term Assets, Total",918773
Bank BCA,2009-03-31,Assets,Non-Current Assets,Net Loans,103895583
Bank BCA,2009-03-31,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),66138
Bank BCA,2009-03-31,Equities,Retained Earnings,Retained Earnings,19971824
Bank BCA,2009-03-31,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2009-03-31,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2009-03-31,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2009-03-31,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",1876840
Bank BCA,2009-03-31,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2009-03-31,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2009-03-31,Liabilities,Current Liabilities,"Other Current Liabilities, Total",336307
Bank BCA,2009-03-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,530710
Bank BCA,2009-03-31,Liabilities,Current Liabilities,Total Short Term Borrowings,497090
Bank BCA,2009-03-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,530710
Bank BCA,2009-03-31,Liabilities,Current Liabilities,Accrued Expenses,2448800
Bank BCA,2009-03-31,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2009-03-31,Liabilities,Current Liabilities,Total Deposits,217085800
Bank BCA,2008-12-31,Assets,"Other Assets, Total",Other Assets,4735996
Bank BCA,2008-12-31,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2008-12-31,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2644785
Bank BCA,2008-12-31,Assets,Current Assets,Cash and Due from Banks,33434537
Bank BCA,2008-12-31,Assets,Current Assets,Other Earning Assets,183872932
Bank BCA,2008-12-31,Assets,Fixed Assets,"Other Long Term Assets, Total",770686
Bank BCA,2008-12-31,Assets,Non-Current Assets,Net Loans,110026861
Bank BCA,2008-12-31,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),37782
Bank BCA,2008-12-31,Equities,Retained Earnings,Retained Earnings,18339886
Bank BCA,2008-12-31,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2008-12-31,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2008-12-31,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2008-12-31,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",3109382
Bank BCA,2008-12-31,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2008-12-31,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2008-12-31,Liabilities,Current Liabilities,"Other Current Liabilities, Total",504635
Bank BCA,2008-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,670369
Bank BCA,2008-12-31,Liabilities,Current Liabilities,Total Short Term Borrowings,498217
Bank BCA,2008-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,670369
Bank BCA,2008-12-31,Liabilities,Current Liabilities,Accrued Expenses,2772557
Bank BCA,2008-12-31,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2008-12-31,Liabilities,Current Liabilities,Total Deposits,214735386
Bank BCA,2008-09-30,Assets,"Other Assets, Total",Other Assets,4949111
Bank BCA,2008-09-30,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2008-09-30,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2378091
Bank BCA,2008-09-30,Assets,Current Assets,Cash and Due from Banks,38418538
Bank BCA,2008-09-30,Assets,Current Assets,Other Earning Assets,152389626
Bank BCA,2008-09-30,Assets,Fixed Assets,"Other Long Term Assets, Total",478076
Bank BCA,2008-09-30,Assets,Non-Current Assets,Net Loans,103280011
Bank BCA,2008-09-30,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),81158
Bank BCA,2008-09-30,Equities,Retained Earnings,Retained Earnings,17415927
Bank BCA,2008-09-30,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2008-09-30,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2008-09-30,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2008-09-30,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",3727961
Bank BCA,2008-09-30,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2008-09-30,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2008-09-30,Liabilities,Current Liabilities,"Other Current Liabilities, Total",605378
Bank BCA,2008-09-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,617317
Bank BCA,2008-09-30,Liabilities,Current Liabilities,Total Short Term Borrowings,1295563
Bank BCA,2008-09-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,617317
Bank BCA,2008-09-30,Liabilities,Current Liabilities,Accrued Expenses,1834738
Bank BCA,2008-09-30,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2008-09-30,Liabilities,Current Liabilities,Total Deposits,197637783
Bank BCA,2008-06-30,Assets,"Other Assets, Total",Other Assets,4910382
Bank BCA,2008-06-30,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2008-06-30,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2266347
Bank BCA,2008-06-30,Assets,Current Assets,Cash and Due from Banks,38802336
Bank BCA,2008-06-30,Assets,Current Assets,Other Earning Assets,161104109
Bank BCA,2008-06-30,Assets,Fixed Assets,"Other Long Term Assets, Total",406250
Bank BCA,2008-06-30,Assets,Non-Current Assets,Net Loans,93756432
Bank BCA,2008-06-30,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),72552
Bank BCA,2008-06-30,Equities,Retained Earnings,Retained Earnings,14787174
Bank BCA,2008-06-30,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2008-06-30,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2008-06-30,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2008-06-30,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",2423697
Bank BCA,2008-06-30,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2008-06-30,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2008-06-30,Liabilities,Current Liabilities,"Other Current Liabilities, Total",709043
Bank BCA,2008-06-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,629660
Bank BCA,2008-06-30,Liabilities,Current Liabilities,Total Short Term Borrowings,992034
Bank BCA,2008-06-30,Liabilities,Non-Current Liabilities,Other Liabilities Total,629660
Bank BCA,2008-06-30,Liabilities,Current Liabilities,Accrued Expenses,1903094
Bank BCA,2008-06-30,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2008-06-30,Liabilities,Current Liabilities,Total Deposits,194794168
Bank BCA,2008-03-31,Assets,"Other Assets, Total",Other Assets,4806682
Bank BCA,2008-03-31,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2008-03-31,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2291674
Bank BCA,2008-03-31,Assets,Current Assets,Cash and Due from Banks,42792860
Bank BCA,2008-03-31,Assets,Current Assets,Other Earning Assets,161283537
Bank BCA,2008-03-31,Assets,Fixed Assets,"Other Long Term Assets, Total",376321
Bank BCA,2008-03-31,Assets,Non-Current Assets,Net Loans,82442019
Bank BCA,2008-03-31,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),54779
Bank BCA,2008-03-31,Equities,Retained Earnings,Retained Earnings,15057194
Bank BCA,2008-03-31,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2008-03-31,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2008-03-31,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2008-03-31,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",1611104
Bank BCA,2008-03-31,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2008-03-31,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2008-03-31,Liabilities,Current Liabilities,"Other Current Liabilities, Total",316634
Bank BCA,2008-03-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,630112
Bank BCA,2008-03-31,Liabilities,Current Liabilities,Total Short Term Borrowings,960257
Bank BCA,2008-03-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,630112
Bank BCA,2008-03-31,Liabilities,Current Liabilities,Accrued Expenses,1964116
Bank BCA,2008-03-31,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2008-03-31,Liabilities,Current Liabilities,Total Deposits,187651369
Bank BCA,2007-12-31,Assets,"Other Assets, Total",Other Assets,4448206
Bank BCA,2007-12-31,Assets,Fixed Assets,"Goodwill, Net",0
Bank BCA,2007-12-31,Assets,Fixed Assets,"Property/Plant/Equipment, Total - Net",2264841
Bank BCA,2007-12-31,Assets,Current Assets,Cash and Due from Banks,35299806
Bank BCA,2007-12-31,Assets,Current Assets,Other Earning Assets,187510463
Bank BCA,2007-12-31,Assets,Fixed Assets,"Other Long Term Assets, Total",376154
Bank BCA,2007-12-31,Assets,Non-Current Assets,Net Loans,80702481
Bank BCA,2007-12-31,Equities,Unrealized Gain (Loss),Unrealized Gain (Loss),22313
Bank BCA,2007-12-31,Equities,Retained Earnings,Retained Earnings,13906138
Bank BCA,2007-12-31,Equities,Additional Paid-In Capital,Additional Paid-In Capital,3895933
Bank BCA,2007-12-31,Equities,"Other Equity, Total",Other Equity,3895933
Bank BCA,2007-12-31,Equities,"Common Stock, Total",Common Stock,1540938
Bank BCA,2007-12-31,Liabilities,Current Liabilities,"Other Bearing Liabilities, Total",1691903
Bank BCA,2007-12-31,Liabilities,Non-Current Liabilities,Deferred Income Tax,0
Bank BCA,2007-12-31,Liabilities,Non-Current Liabilities,Total Long Term Debt,0
Bank BCA,2007-12-31,Liabilities,Current Liabilities,"Other Current Liabilities, Total",500871
Bank BCA,2007-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,624861
Bank BCA,2007-12-31,Liabilities,Current Liabilities,Total Short Term Borrowings,1083995
Bank BCA,2007-12-31,Liabilities,Non-Current Liabilities,Other Liabilities Total,624861
Bank BCA,2007-12-31,Liabilities,Current Liabilities,Accrued Expenses,1493419
Bank BCA,2007-12-31,Liabilities,Current Liabilities,Accounts Payable,0
Bank BCA,2007-12-31,Liabilities,Current Liabilities,Total Deposits,192168228
