Dates,variable,value
1997-07-22,IDX: Turnover: Value,530.2662
1997-07-23,IDX: Turnover: Value,745.013
1997-07-24,IDX: Turnover: Value,680.542
1997-07-25,IDX: Turnover: Value,528.0497
1997-07-28,IDX: Turnover: Value,662.0846
1997-07-29,IDX: Turnover: Value,459.3107
1997-07-30,IDX: Turnover: Value,581.2169
1997-07-31,IDX: Turnover: Value,951.0785
1997-08-01,IDX: Turnover: Value,458.9709
1997-08-04,IDX: Turnover: Value,494.6112
1997-08-05,IDX: Turnover: Value,402.8796
1997-08-06,IDX: Turnover: Value,544.0215
1997-08-07,IDX: Turnover: Value,582.8763
1997-08-08,IDX: Turnover: Value,614.9302
1997-08-11,IDX: Turnover: Value,459.1085
1997-08-12,IDX: Turnover: Value,513.0164
1997-08-13,IDX: Turnover: Value,332.5755
1997-08-14,IDX: Turnover: Value,568.2863
1997-08-15,IDX: Turnover: Value,540.2342
1997-08-18,IDX: Turnover: Value,720.0992
1997-08-19,IDX: Turnover: Value,923.7286
1997-08-20,IDX: Turnover: Value,492.9742
1997-08-21,IDX: Turnover: Value,1080.751
1997-08-22,IDX: Turnover: Value,580.3254
1997-08-25,IDX: Turnover: Value,459.7919
1997-08-26,IDX: Turnover: Value,550.0299
1997-08-27,IDX: Turnover: Value,478.4935
1997-08-28,IDX: Turnover: Value,393.894
1997-08-29,IDX: Turnover: Value,464.4149
1997-09-01,IDX: Turnover: Value,360.1002
1997-09-02,IDX: Turnover: Value,283.0232
1997-09-03,IDX: Turnover: Value,575.977
1997-09-04,IDX: Turnover: Value,545.4418
1997-09-05,IDX: Turnover: Value,975.9453
1997-09-08,IDX: Turnover: Value,953.2039
1997-09-09,IDX: Turnover: Value,733.0269
1997-09-10,IDX: Turnover: Value,498.4103
1997-09-11,IDX: Turnover: Value,374.0987
1997-09-12,IDX: Turnover: Value,598.0298
1997-09-15,IDX: Turnover: Value,320.2642
1997-09-16,IDX: Turnover: Value,392.1154
1997-09-17,IDX: Turnover: Value,291.6375
1997-09-18,IDX: Turnover: Value,293.488
1997-09-19,IDX: Turnover: Value,334.6624
1997-09-22,IDX: Turnover: Value,491.2158
1997-09-23,IDX: Turnover: Value,259.76
1997-09-24,IDX: Turnover: Value,493.8798
1997-09-25,IDX: Turnover: Value,436.86
1997-09-26,IDX: Turnover: Value,390.4192
1997-09-29,IDX: Turnover: Value,266.7394
1997-09-30,IDX: Turnover: Value,360.5716
1997-10-01,IDX: Turnover: Value,394.0906
1997-10-02,IDX: Turnover: Value,284.8825
1997-10-03,IDX: Turnover: Value,481.7247
1997-10-06,IDX: Turnover: Value,405.0216
1997-10-07,IDX: Turnover: Value,380.6784
1997-10-08,IDX: Turnover: Value,412.1269
1997-10-09,IDX: Turnover: Value,633.2435
1997-10-10,IDX: Turnover: Value,640.7289
1997-10-13,IDX: Turnover: Value,501.4992
1997-10-14,IDX: Turnover: Value,478.2884
1997-10-15,IDX: Turnover: Value,368.164
1997-10-16,IDX: Turnover: Value,404.6507
1997-10-17,IDX: Turnover: Value,395.6665
1997-10-20,IDX: Turnover: Value,264.4087
1997-10-21,IDX: Turnover: Value,337.5302
1997-10-22,IDX: Turnover: Value,314.5971
1997-10-23,IDX: Turnover: Value,512.7608
1997-10-24,IDX: Turnover: Value,269.0049
1997-10-27,IDX: Turnover: Value,301.4999
1997-10-28,IDX: Turnover: Value,396.2992
1997-10-29,IDX: Turnover: Value,425.4073
1997-10-30,IDX: Turnover: Value,581.665
1997-10-31,IDX: Turnover: Value,1006.237
1997-11-03,IDX: Turnover: Value,622.1889
1997-11-04,IDX: Turnover: Value,450.9121
1997-11-05,IDX: Turnover: Value,353.8004
1997-11-06,IDX: Turnover: Value,421.4909
1997-11-07,IDX: Turnover: Value,518.7451
1997-11-10,IDX: Turnover: Value,312.4294
1997-11-11,IDX: Turnover: Value,307.0588
1997-11-12,IDX: Turnover: Value,320.1928
1997-11-13,IDX: Turnover: Value,350.1294
1997-11-14,IDX: Turnover: Value,405.8033
1997-11-17,IDX: Turnover: Value,260.7346
1997-11-18,IDX: Turnover: Value,290.7232
1997-11-19,IDX: Turnover: Value,331.4165
1997-11-20,IDX: Turnover: Value,393.0853
1997-11-21,IDX: Turnover: Value,326.634
1997-11-24,IDX: Turnover: Value,413.0012
1997-11-25,IDX: Turnover: Value,312.0601
1997-11-26,IDX: Turnover: Value,343.7639
1997-11-27,IDX: Turnover: Value,540.6713
1997-12-01,IDX: Turnover: Value,266.0445
1997-12-02,IDX: Turnover: Value,712.016
1997-12-03,IDX: Turnover: Value,297.0512
1997-12-04,IDX: Turnover: Value,300.1692
1997-12-05,IDX: Turnover: Value,389.246
1997-12-08,IDX: Turnover: Value,430.9495
1997-12-09,IDX: Turnover: Value,541.9468
1997-12-10,IDX: Turnover: Value,334.0792
1997-12-11,IDX: Turnover: Value,328.0156
1997-12-12,IDX: Turnover: Value,559.107
1997-12-15,IDX: Turnover: Value,408.199
1997-12-16,IDX: Turnover: Value,506.5739
1997-12-17,IDX: Turnover: Value,985.7388
1997-12-18,IDX: Turnover: Value,531.0678
1997-12-19,IDX: Turnover: Value,465.4057
1997-12-22,IDX: Turnover: Value,305.9437
1997-12-23,IDX: Turnover: Value,456.1546
1997-12-24,IDX: Turnover: Value,436.2902
1997-12-29,IDX: Turnover: Value,533.8936
1997-12-30,IDX: Turnover: Value,546.3404
1998-01-02,IDX: Turnover: Value,173.8442
1998-01-05,IDX: Turnover: Value,263.5222
1998-01-06,IDX: Turnover: Value,407.8224
1998-01-07,IDX: Turnover: Value,367.9918
1998-01-08,IDX: Turnover: Value,679.3867
1998-01-09,IDX: Turnover: Value,838.7435
1998-01-12,IDX: Turnover: Value,622.1817
1998-01-13,IDX: Turnover: Value,745.1369
1998-01-14,IDX: Turnover: Value,815.1576
1998-01-15,IDX: Turnover: Value,1082.676
1998-01-16,IDX: Turnover: Value,728.832
1998-01-19,IDX: Turnover: Value,759.0607
1998-01-20,IDX: Turnover: Value,539.0846
1998-01-21,IDX: Turnover: Value,823.6264
1998-01-22,IDX: Turnover: Value,810.9647
1998-01-23,IDX: Turnover: Value,604.0185
1998-01-26,IDX: Turnover: Value,677.28
1998-01-27,IDX: Turnover: Value,521.5018
1998-01-28,IDX: Turnover: Value,450.8256
1998-02-02,IDX: Turnover: Value,840.8527
1998-02-03,IDX: Turnover: Value,847.827
1998-02-04,IDX: Turnover: Value,691.1632
1998-02-05,IDX: Turnover: Value,756.6273
1998-02-06,IDX: Turnover: Value,842.7541
1998-02-09,IDX: Turnover: Value,738.6465
1998-02-10,IDX: Turnover: Value,949.1789
1998-02-11,IDX: Turnover: Value,1042.614
1998-02-12,IDX: Turnover: Value,647.1848
1998-02-13,IDX: Turnover: Value,826.1449
1998-02-16,IDX: Turnover: Value,844.9054
1998-02-17,IDX: Turnover: Value,680.8439
1998-02-18,IDX: Turnover: Value,563.7868
1998-02-19,IDX: Turnover: Value,719.7455
1998-02-20,IDX: Turnover: Value,547.9519
1998-02-23,IDX: Turnover: Value,555.708
1998-02-24,IDX: Turnover: Value,560.1578
1998-02-25,IDX: Turnover: Value,845.2422
1998-02-26,IDX: Turnover: Value,624.6003
1998-02-27,IDX: Turnover: Value,609.403
1998-03-02,IDX: Turnover: Value,443.552
1998-03-03,IDX: Turnover: Value,1079.05
1998-03-04,IDX: Turnover: Value,607.3456
1998-03-05,IDX: Turnover: Value,620.7447
1998-03-06,IDX: Turnover: Value,677.4849
1998-03-09,IDX: Turnover: Value,651.1218
1998-03-10,IDX: Turnover: Value,483.963
1998-03-11,IDX: Turnover: Value,547.2409
1998-03-12,IDX: Turnover: Value,595.8838
1998-03-13,IDX: Turnover: Value,490.4997
1998-03-16,IDX: Turnover: Value,431.2547
1998-03-17,IDX: Turnover: Value,524.5004
1998-03-18,IDX: Turnover: Value,495.936
1998-03-19,IDX: Turnover: Value,477.7104
1998-03-20,IDX: Turnover: Value,637.6462
1998-03-23,IDX: Turnover: Value,836.5449
1998-03-24,IDX: Turnover: Value,559.3098
1998-03-25,IDX: Turnover: Value,679.4051
1998-03-26,IDX: Turnover: Value,1262.032
1998-03-27,IDX: Turnover: Value,1246.811
1998-03-30,IDX: Turnover: Value,569.0712
1998-04-01,IDX: Turnover: Value,752.1097
1998-04-02,IDX: Turnover: Value,522.4922
1998-04-03,IDX: Turnover: Value,730.1441
1998-04-06,IDX: Turnover: Value,408.155
1998-04-08,IDX: Turnover: Value,601.2543
1998-04-09,IDX: Turnover: Value,660.3496
1998-04-13,IDX: Turnover: Value,451.9339
1998-04-14,IDX: Turnover: Value,457.6095
1998-04-15,IDX: Turnover: Value,668.9911
1998-04-16,IDX: Turnover: Value,595.8013
1998-04-17,IDX: Turnover: Value,449.52
1998-04-20,IDX: Turnover: Value,399.3051
1998-04-21,IDX: Turnover: Value,557.7914
1998-04-22,IDX: Turnover: Value,583.8339
