Dates,variable,value
1997-09-08,Aneka Industri,128.072
1997-09-09,Aneka Industri,129.254
1997-09-10,Aneka Industri,123.752
1997-09-11,Aneka Industri,122.519
1997-09-12,Aneka Industri,122.488
1997-09-15,Aneka Industri,123.067
1997-09-16,Aneka Industri,116.487
1997-09-17,Aneka Industri,114.955
1997-09-18,Aneka Industri,116.106
1997-09-19,Aneka Industri,117.851
1997-09-22,Aneka Industri,114.735
1997-09-23,Aneka Industri,113.395
1997-09-24,Aneka Industri,116.181
1997-09-25,Aneka Industri,116.734
1997-09-26,Aneka Industri,114.708
1997-09-29,Aneka Industri,113.055
1997-09-30,Aneka Industri,111.15
1997-10-01,Aneka Industri,108.855
1997-10-02,Aneka Industri,105.628
1997-10-03,Aneka Industri,98.556
1997-10-06,Aneka Industri,98.133
1997-10-07,Aneka Industri,99.321
1997-10-08,Aneka Industri,102.079
1997-10-09,Aneka Industri,101.509
1997-10-10,Aneka Industri,106.284
1997-10-13,Aneka Industri,106.485
1997-10-14,Aneka Industri,105.05
1997-10-15,Aneka Industri,102.303
1997-10-16,Aneka Industri,103.281
1997-10-17,Aneka Industri,105.609
1997-10-20,Aneka Industri,105.135
1997-10-21,Aneka Industri,105.258
1997-10-22,Aneka Industri,102.074
1997-10-23,Aneka Industri,100.627
1997-10-24,Aneka Industri,100.519
1997-10-27,Aneka Industri,102.143
1997-10-28,Aneka Industri,97.228
1997-10-29,Aneka Industri,99.926
1997-10-30,Aneka Industri,107.223
1997-10-31,Aneka Industri,110.39
1997-11-03,Aneka Industri,111.223
1997-11-04,Aneka Industri,112.007
1997-11-05,Aneka Industri,111.773
1997-11-06,Aneka Industri,112.836
1997-11-07,Aneka Industri,107.6
1997-11-10,Aneka Industri,105.061
1997-11-11,Aneka Industri,104.354
1997-11-12,Aneka Industri,103.57
1997-11-13,Aneka Industri,101.696
1997-11-14,Aneka Industri,101.192
1997-11-17,Aneka Industri,101.006
1997-11-18,Aneka Industri,100.254
1997-11-19,Aneka Industri,96.674
1997-11-20,Aneka Industri,93.755
1997-11-21,Aneka Industri,92.083
1997-11-24,Aneka Industri,94.866
1997-11-25,Aneka Industri,93.063
1997-11-26,Aneka Industri,95.47
1997-11-27,Aneka Industri,97.883
1997-12-01,Aneka Industri,98.429
1997-12-02,Aneka Industri,98.322
1997-12-03,Aneka Industri,96.955
1997-12-04,Aneka Industri,97.514
1997-12-05,Aneka Industri,98.969
1997-12-08,Aneka Industri,100.403
1997-12-09,Aneka Industri,103.385
1997-12-10,Aneka Industri,101.121
1997-12-11,Aneka Industri,98.302
1997-12-12,Aneka Industri,94.359
1997-12-15,Aneka Industri,87.973
1997-12-16,Aneka Industri,92.214
1997-12-17,Aneka Industri,93.185
1997-12-18,Aneka Industri,90.924
1997-12-19,Aneka Industri,91.243
1997-12-22,Aneka Industri,90.793
1997-12-23,Aneka Industri,92.03
1997-12-24,Aneka Industri,89.786
1997-12-26,Aneka Industri,89.786
1997-12-29,Aneka Industri,92.558
1997-12-30,Aneka Industri,95.009
1997-12-31,Aneka Industri,95.009
1998-01-02,Aneka Industri,95.571
1998-01-05,Aneka Industri,94.536
1998-01-06,Aneka Industri,91.699
1998-01-07,Aneka Industri,88.944
1998-01-08,Aneka Industri,81.232
1998-01-09,Aneka Industri,80.332
1998-01-12,Aneka Industri,79.264
1998-01-13,Aneka Industri,81.245
1998-01-14,Aneka Industri,87.129
1998-01-15,Aneka Industri,84.571
1998-01-16,Aneka Industri,84.649
1998-01-19,Aneka Industri,86.182
1998-01-20,Aneka Industri,91.148
1998-01-21,Aneka Industri,91.651
1998-01-22,Aneka Industri,91.114
1998-01-23,Aneka Industri,95.382
1998-01-26,Aneka Industri,101.4
1998-01-27,Aneka Industri,103.244
1998-01-28,Aneka Industri,102.088
1998-02-02,Aneka Industri,111.287
1998-02-03,Aneka Industri,113.01
1998-02-04,Aneka Industri,112.358
1998-02-05,Aneka Industri,108.986
1998-02-06,Aneka Industri,113.354
1998-02-09,Aneka Industri,109.09
1998-02-10,Aneka Industri,112.934
1998-02-11,Aneka Industri,109.688
1998-02-12,Aneka Industri,107.085
1998-02-13,Aneka Industri,107.754
1998-02-16,Aneka Industri,106.624
1998-02-17,Aneka Industri,106.578
1998-02-18,Aneka Industri,108.537
1998-02-19,Aneka Industri,111.693
1998-02-20,Aneka Industri,112.74
1998-02-23,Aneka Industri,109.274
1998-02-24,Aneka Industri,109.216
1998-02-25,Aneka Industri,107.527
1998-02-26,Aneka Industri,109.232
1998-02-27,Aneka Industri,111.922
1998-03-02,Aneka Industri,111.449
1998-03-03,Aneka Industri,113.326
1998-03-04,Aneka Industri,110.813
1998-03-05,Aneka Industri,110.591
1998-03-06,Aneka Industri,110.146
1998-03-09,Aneka Industri,107.889
1998-03-10,Aneka Industri,110.315
1998-03-11,Aneka Industri,111.427
1998-03-12,Aneka Industri,112.636
1998-03-13,Aneka Industri,114.625
1998-03-16,Aneka Industri,115.638
1998-03-17,Aneka Industri,115.792
1998-03-18,Aneka Industri,114.884
1998-03-19,Aneka Industri,115.2
1998-03-20,Aneka Industri,116.179
1998-03-23,Aneka Industri,113.998
1998-03-24,Aneka Industri,110.493
1998-03-25,Aneka Industri,112.572
1998-03-26,Aneka Industri,121.725
1998-03-27,Aneka Industri,119.489
1998-03-30,Aneka Industri,120.346
1998-03-31,Aneka Industri,120.346
1998-04-01,Aneka Industri,118.009
1998-04-02,Aneka Industri,117.679
1998-04-03,Aneka Industri,120.911
1998-04-06,Aneka Industri,117.96
1998-04-08,Aneka Industri,117.948
1998-04-09,Aneka Industri,120.388
1998-04-13,Aneka Industri,119.256
1998-04-14,Aneka Industri,118.817
1998-04-15,Aneka Industri,116.843
1998-04-16,Aneka Industri,116.837
1998-04-17,Aneka Industri,116.047
1998-04-20,Aneka Industri,115.029
1998-04-21,Aneka Industri,113.085
1998-04-22,Aneka Industri,112.864
1998-04-23,Aneka Industri,109.976
1998-04-24,Aneka Industri,109.47
1998-04-27,Aneka Industri,108.057
1998-04-29,Aneka Industri,106.701
1998-04-30,Aneka Industri,105.997
1998-05-01,Aneka Industri,104.612
1998-05-04,Aneka Industri,103.179
1998-05-05,Aneka Industri,98.988
1998-05-06,Aneka Industri,95.302
1998-05-07,Aneka Industri,96.157
1998-05-08,Aneka Industri,97.767
1998-05-12,Aneka Industri,97.294
1998-05-13,Aneka Industri,91.318
1998-05-14,Aneka Industri,90.863
1998-05-15,Aneka Industri,91.142
1998-05-18,Aneka Industri,87.899
1998-05-19,Aneka Industri,89.352
1998-05-20,Aneka Industri,89.781
1998-05-22,Aneka Industri,94.42
1998-05-25,Aneka Industri,98
1998-05-26,Aneka Industri,97.543
1998-05-27,Aneka Industri,93.83
1998-05-28,Aneka Industri,93.216
1998-05-29,Aneka Industri,93.516
1998-06-01,Aneka Industri,92.355
1998-06-02,Aneka Industri,88.995
1998-06-03,Aneka Industri,87.779
1998-06-04,Aneka Industri,92.246
1998-06-05,Aneka Industri,90.51
1998-06-08,Aneka Industri,89.848
1998-06-09,Aneka Industri,89.451
1998-06-10,Aneka Industri,88.636
1998-06-11,Aneka Industri,86.786
1998-06-12,Aneka Industri,88.403
1998-06-15,Aneka Industri,86.291
1998-06-16,Aneka Industri,84.991
1998-06-17,Aneka Industri,85.409
1998-06-18,Aneka Industri,86.556
1998-06-19,Aneka Industri,85.728
1998-06-22,Aneka Industri,84.193
1998-06-23,Aneka Industri,84.29
1998-06-24,Aneka Industri,84.285
1998-06-25,Aneka Industri,85.593
1998-06-26,Aneka Industri,84.593
1998-06-29,Aneka Industri,84.362
1998-06-30,Aneka Industri,85.653
1998-07-01,Aneka Industri,88.696
1998-07-02,Aneka Industri,87.836
1998-07-03,Aneka Industri,88.02
1998-07-07,Aneka Industri,87.836
1998-07-08,Aneka Industri,85.736
1998-07-09,Aneka Industri,85.436
1998-07-10,Aneka Industri,86.597
1998-07-13,Aneka Industri,85.812
1998-07-14,Aneka Industri,86.652
1998-07-15,Aneka Industri,86.671
1998-07-16,Aneka Industri,87.235
1998-07-17,Aneka Industri,87.836
1998-07-20,Aneka Industri,86.709
1998-07-21,Aneka Industri,87.161
1998-07-22,Aneka Industri,87.511
1998-07-23,Aneka Industri,86.487
1998-07-24,Aneka Industri,86.129
1998-07-27,Aneka Industri,86.112
1998-07-28,Aneka Industri,85.752
1998-07-29,Aneka Industri,86.375
1998-07-30,Aneka Industri,85.813
1998-07-31,Aneka Industri,86.252
1998-08-03,Aneka Industri,85.699
1998-08-04,Aneka Industri,84.946
1998-08-05,Aneka Industri,83.161
1998-08-06,Aneka Industri,83.481
1998-08-07,Aneka Industri,81.08
1998-08-10,Aneka Industri,80.583
1998-08-11,Aneka Industri,79.278
1998-08-12,Aneka Industri,78.928
1998-08-13,Aneka Industri,77.415
1998-08-14,Aneka Industri,77.071
1998-08-18,Aneka Industri,76.648
1998-08-19,Aneka Industri,76.501
1998-08-20,Aneka Industri,76.463
1998-08-21,Aneka Industri,75.577
1998-08-24,Aneka Industri,72.795
1998-08-25,Aneka Industri,69.085
1998-08-26,Aneka Industri,67.068
1998-08-27,Aneka Industri,66.342
1998-08-28,Aneka Industri,65.711
1998-08-31,Aneka Industri,65.027
1998-09-01,Aneka Industri,63.568
1998-09-02,Aneka Industri,65.758
1998-09-03,Aneka Industri,66.698
1998-09-04,Aneka Industri,66.775
1998-09-07,Aneka Industri,68.34
1998-09-08,Aneka Industri,69.289
1998-09-09,Aneka Industri,70.203
1998-09-10,Aneka Industri,70.309
1998-09-11,Aneka Industri,73.293
1998-09-14,Aneka Industri,72.777
1998-09-15,Aneka Industri,70.909
1998-09-16,Aneka Industri,70.046
1998-09-17,Aneka Industri,65.985
1998-09-18,Aneka Industri,65.844
1998-09-21,Aneka Industri,62.353
1998-09-22,Aneka Industri,64.279
1998-09-23,Aneka Industri,66.006
1998-09-24,Aneka Industri,66.828
1998-09-25,Aneka Industri,67.411
1998-09-28,Aneka Industri,67.388
1998-09-29,Aneka Industri,67.363
1998-09-30,Aneka Industri,67.751
1998-10-01,Aneka Industri,67.88
1998-10-02,Aneka Industri,66.79
1998-10-05,Aneka Industri,68.213
1998-10-06,Aneka Industri,68.47
1998-10-07,Aneka Industri,69.951
1998-10-08,Aneka Industri,72.869
1998-10-09,Aneka Industri,75.023
1998-10-12,Aneka Industri,76.874
1998-10-13,Aneka Industri,76.992
1998-10-14,Aneka Industri,76.453
1998-10-15,Aneka Industri,77.467
1998-10-16,Aneka Industri,79.826
1998-10-19,Aneka Industri,79.096
1998-10-20,Aneka Industri,78.8
1998-10-21,Aneka Industri,75.118
1998-10-22,Aneka Industri,72.742
1998-10-23,Aneka Industri,70.57
1998-10-26,Aneka Industri,70.15
1998-10-27,Aneka Industri,70.056
1998-10-28,Aneka Industri,69.465
1998-10-29,Aneka Industri,69.821
1998-10-30,Aneka Industri,69.063
1998-11-02,Aneka Industri,69.621
1998-11-03,Aneka Industri,69.321
1998-11-04,Aneka Industri,69.643
1998-11-05,Aneka Industri,71.385
1998-11-06,Aneka Industri,73.947
1998-11-09,Aneka Industri,73.467
1998-11-10,Aneka Industri,74.438
1998-11-11,Aneka Industri,78.417
1998-11-12,Aneka Industri,76.018
1998-11-13,Aneka Industri,75.384
1998-11-16,Aneka Industri,76.415
1998-11-18,Aneka Industri,79.572
1998-11-19,Aneka Industri,77.639
1998-11-20,Aneka Industri,81.959
1998-11-23,Aneka Industri,83.703
1998-11-24,Aneka Industri,83.392
1998-11-25,Aneka Industri,78.677
1998-11-26,Aneka Industri,80.335
1998-11-27,Aneka Industri,79.65
1998-11-30,Aneka Industri,78.17
1998-12-01,Aneka Industri,78.165
1998-12-02,Aneka Industri,79.037
1998-12-03,Aneka Industri,79.234
1998-12-04,Aneka Industri,78.264
1998-12-07,Aneka Industri,79.221
1998-12-08,Aneka Industri,79.179
1998-12-09,Aneka Industri,78.681
1998-12-10,Aneka Industri,79.33
1998-12-11,Aneka Industri,82.904
1998-12-14,Aneka Industri,81.546
1998-12-15,Aneka Industri,82.251
1998-12-16,Aneka Industri,82.69
1998-12-17,Aneka Industri,81.639
1998-12-18,Aneka Industri,82.05
1998-12-21,Aneka Industri,80.088
1998-12-22,Aneka Industri,80.688
1998-12-23,Aneka Industri,79.929
1998-12-24,Aneka Industri,79.524
1998-12-28,Aneka Industri,80.545
1998-12-29,Aneka Industri,81.864
1998-12-30,Aneka Industri,82.311
1998-12-31,Aneka Industri,82.311
1999-01-04,Aneka Industri,81.151
1999-01-05,Aneka Industri,81.719
1999-01-06,Aneka Industri,82.275
1999-01-07,Aneka Industri,83.216
1999-01-08,Aneka Industri,80.726
1999-01-11,Aneka Industri,79.667
1999-01-12,Aneka Industri,80.424
1999-01-13,Aneka Industri,79.091
1999-01-14,Aneka Industri,76.732
1999-01-15,Aneka Industri,75.259
1999-01-18,Aneka Industri,75.259
1999-01-21,Aneka Industri,75.259
1999-01-22,Aneka Industri,75.259
1999-01-25,Aneka Industri,73.501
1999-01-26,Aneka Industri,74.435
1999-01-27,Aneka Industri,75.477
1999-01-28,Aneka Industri,75.332
1999-01-29,Aneka Industri,75.232
1999-02-01,Aneka Industri,75.635
1999-02-02,Aneka Industri,76.007
1999-02-03,Aneka Industri,75.411
1999-02-04,Aneka Industri,75.301
1999-02-05,Aneka Industri,74.013
1999-02-08,Aneka Industri,73.578
1999-02-09,Aneka Industri,73.491
1999-02-10,Aneka Industri,72.469
1999-02-11,Aneka Industri,72.859
1999-02-12,Aneka Industri,72.336
1999-02-15,Aneka Industri,72.364
1999-02-16,Aneka Industri,72.634
1999-02-17,Aneka Industri,72.26
1999-02-18,Aneka Industri,72.416
1999-02-19,Aneka Industri,71.702
1999-02-22,Aneka Industri,70.347
1999-02-23,Aneka Industri,70.294
1999-02-24,Aneka Industri,70.256
1999-02-25,Aneka Industri,70.358
1999-02-26,Aneka Industri,69.78
1999-03-01,Aneka Industri,70.881
1999-03-02,Aneka Industri,69.676
1999-03-03,Aneka Industri,69.717
1999-03-04,Aneka Industri,69.687
1999-03-05,Aneka Industri,70.111
1999-03-08,Aneka Industri,69.568
1999-03-09,Aneka Industri,68.75
1999-03-10,Aneka Industri,68.132
1999-03-11,Aneka Industri,68.311
1999-03-12,Aneka Industri,68.297
1999-03-15,Aneka Industri,68.151
1999-03-16,Aneka Industri,67.789
1999-03-17,Aneka Industri,69.068
1999-03-19,Aneka Industri,69.203
1999-03-22,Aneka Industri,69.143
1999-03-23,Aneka Industri,68.883
1999-03-24,Aneka Industri,68.291
1999-03-25,Aneka Industri,71.64
1999-03-26,Aneka Industri,69.542
1999-03-29,Aneka Industri,69.931
1999-03-30,Aneka Industri,69.872
1999-03-31,Aneka Industri,69.872
1999-04-01,Aneka Industri,69.161
1999-04-05,Aneka Industri,69.124
1999-04-06,Aneka Industri,68.995
1999-04-07,Aneka Industri,68.965
1999-04-08,Aneka Industri,69.355
1999-04-09,Aneka Industri,71.844
1999-04-12,Aneka Industri,71.333
1999-04-13,Aneka Industri,73.479
1999-04-14,Aneka Industri,73.727
1999-04-15,Aneka Industri,76.072
1999-04-16,Aneka Industri,80.154
1999-04-19,Aneka Industri,80.527
1999-04-20,Aneka Industri,78.086
1999-04-21,Aneka Industri,76.195
1999-04-22,Aneka Industri,78.954
1999-04-23,Aneka Industri,80.053
1999-04-26,Aneka Industri,79.513
1999-04-27,Aneka Industri,79.107
1999-04-28,Aneka Industri,81.784
1999-04-29,Aneka Industri,81.477
1999-04-30,Aneka Industri,83.194
1999-05-03,Aneka Industri,86.737
1999-05-04,Aneka Industri,94.03
1999-05-05,Aneka Industri,99.498
1999-05-06,Aneka Industri,100.499
1999-05-07,Aneka Industri,97.478
1999-05-10,Aneka Industri,97.476
1999-05-11,Aneka Industri,99.16
1999-05-12,Aneka Industri,99.126
1999-05-14,Aneka Industri,98.869
1999-05-17,Aneka Industri,96.388
1999-05-18,Aneka Industri,93.964
1999-05-19,Aneka Industri,95.39
1999-05-20,Aneka Industri,101.307
1999-05-21,Aneka Industri,101.345
1999-05-24,Aneka Industri,105.089
1999-05-25,Aneka Industri,104.413
1999-05-26,Aneka Industri,101.697
1999-05-27,Aneka Industri,105.189
