Dates,variable,value
2015-08-18,SPREAD USD,2.2465
2015-08-19,SPREAD USD,2.3894
2015-08-20,SPREAD USD,2.5551
2015-08-21,SPREAD USD,2.6265
2015-08-24,SPREAD USD,2.8646
2015-08-25,SPREAD USD,2.6736
2015-08-26,SPREAD USD,2.6398
2015-08-27,SPREAD USD,2.5429
2015-08-28,SPREAD USD,2.4893
2015-08-31,SPREAD USD,2.4831
2015-09-01,SPREAD USD,2.6136
2015-09-02,SPREAD USD,2.5787
2015-09-03,SPREAD USD,2.5924
2015-09-04,SPREAD USD,2.5756
2015-09-07,SPREAD USD,2.5596
2015-09-08,SPREAD USD,2.5102
2015-09-09,SPREAD USD,2.4254
2015-09-10,SPREAD USD,2.441
2015-09-11,SPREAD USD,2.4537
2015-09-14,SPREAD USD,2.4509
2015-09-15,SPREAD USD,2.3493
2015-09-16,SPREAD USD,2.379
2015-09-17,SPREAD USD,2.4517
2015-09-18,SPREAD USD,2.2834
2015-09-21,SPREAD USD,2.2498
2015-09-22,SPREAD USD,2.4193
2015-09-23,SPREAD USD,2.5393
2015-09-24,SPREAD USD,2.6604
2015-09-25,SPREAD USD,2.6587
2015-09-28,SPREAD USD,2.7641
2015-09-29,SPREAD USD,2.9962
2015-09-30,SPREAD USD,2.9302
2015-10-01,SPREAD USD,2.8202
2015-10-02,SPREAD USD,2.7991
2015-10-05,SPREAD USD,2.4788
2015-10-06,SPREAD USD,2.3715
2015-10-07,SPREAD USD,2.2442
2015-10-08,SPREAD USD,2.299
2015-10-09,SPREAD USD,2.1809
2015-10-12,SPREAD USD,2.1579
2015-10-13,SPREAD USD,2.2721
2015-10-14,SPREAD USD,2.3342
2015-10-15,SPREAD USD,2.1565
2015-10-16,SPREAD USD,2.1136
2015-10-19,SPREAD USD,2.0392
2015-10-20,SPREAD USD,2.096
2015-10-21,SPREAD USD,2.2302
2015-10-22,SPREAD USD,2.1957
2015-10-23,SPREAD USD,2.0814
2015-10-26,SPREAD USD,2.1186
2015-10-27,SPREAD USD,2.179
2015-10-28,SPREAD USD,2.1591
2015-10-29,SPREAD USD,2.1785
2015-10-30,SPREAD USD,2.2999
2015-11-02,SPREAD USD,2.2911
2015-11-03,SPREAD USD,2.2025
2015-11-04,SPREAD USD,2.117
2015-11-05,SPREAD USD,2.1337
2015-11-06,SPREAD USD,2.0188
2015-11-09,SPREAD USD,2.1404
2015-11-10,SPREAD USD,2.1591
2015-11-11,SPREAD USD,2.1549
2015-11-12,SPREAD USD,2.1144
2015-11-13,SPREAD USD,2.2032
2015-11-16,SPREAD USD,2.2434
2015-11-17,SPREAD USD,2.2142
2015-11-18,SPREAD USD,2.2182
2015-11-19,SPREAD USD,2.3208
2015-11-20,SPREAD USD,2.3127
2015-11-23,SPREAD USD,2.3633
2015-11-24,SPREAD USD,2.3813
2015-11-25,SPREAD USD,2.3579
2015-11-26,SPREAD USD,2.3399
2015-11-27,SPREAD USD,2.3439
2015-11-30,SPREAD USD,2.382
2015-12-01,SPREAD USD,2.4499
2015-12-02,SPREAD USD,2.3903
2015-12-03,SPREAD USD,2.3124
2015-12-04,SPREAD USD,2.4377
2015-12-07,SPREAD USD,2.4342
2015-12-08,SPREAD USD,2.4858
2015-12-09,SPREAD USD,2.5326
2015-12-10,SPREAD USD,2.5525
2015-12-11,SPREAD USD,2.764
2015-12-14,SPREAD USD,2.8063
2015-12-15,SPREAD USD,2.7502
2015-12-16,SPREAD USD,2.601
2015-12-17,SPREAD USD,2.4726
2015-12-18,SPREAD USD,2.519
2015-12-21,SPREAD USD,2.5433
2015-12-22,SPREAD USD,2.4953
2015-12-23,SPREAD USD,2.4786
